"var1","var2","complete_case","mean_imputed","sd_imputed","lower_2.5","upper_97.5","difference","absolute_difference"
"SB","HELP_SEEK",-0.001,-0.001,0,-0.001,-0.001,0,0
"PSYCH_OPEN","HELP_SEEK",0.3,0.3,0,0.3,0.3,0,0
"consequences","STIG_INDIFF",-0.281,-0.281,0,-0.281,-0.281,0,0
"timeline","STIG_INDIFF",-0.026,-0.026,0,-0.026,-0.026,0,0
"pers_control","STIG_INDIFF",0.191,0.191,0,0.191,0.191,0,0
"treat_control","STIG_INDIFF",0.099,0.099,0,0.099,0.099,0,0
"identity","STIG_INDIFF",-0.263,-0.263,0,-0.263,-0.263,0,0
"concern","STIG_INDIFF",-0.246,-0.246,0,-0.246,-0.246,0,0
"coherence","STIG_INDIFF",0.374,0.374,0,0.374,0.374,0,0
"emot_rep","STIG_INDIFF",-0.194,-0.194,0,-0.194,-0.194,0,0
"AC","STIG_INDIFF",0.182,0.182,0,0.182,0.182,0,0
"DEN","STIG_INDIFF",-0.079,-0.079,0,-0.079,-0.079,0,0
"SU","STIG_INDIFF",0.033,0.033,0,0.033,0.033,0,0
"UES","STIG_INDIFF",0.247,0.247,0,0.247,0.247,0,0
"UIS","STIG_INDIFF",0.231,0.231,0,0.231,0.231,0,0
"BD","STIG_INDIFF",-0.232,-0.232,0,-0.232,-0.232,0,0
"VEN","STIG_INDIFF",0.214,0.214,0,0.214,0.214,0,0
"PF","STIG_INDIFF",0.017,0.017,0,0.017,0.017,0,0
"PLA","STIG_INDIFF",0.035,0.035,0,0.035,0.035,0,0
"HUM","STIG_INDIFF",-0.13,-0.13,0,-0.13,-0.13,0,0
"ACC","STIG_INDIFF",0.013,0.013,0,0.013,0.013,0,0
"SB","STIG_INDIFF",-0.252,-0.252,0,-0.252,-0.252,0,0
"PSYCH_OPEN","STIG_INDIFF",0.664,0.664,0,0.664,0.664,0,0
"HELP_SEEK","STIG_INDIFF",0.451,0.451,0,0.451,0.451,0,0
