"model","term","estimate","std.error","statistic","df","p.value","2.5 %","97.5 %","conf.low","conf.high"
"PF","pers_control",0.185293056500355,0.0647814881119127,2.86027786487791,106.043445765261,0.00509865989848722,0.056858063041811,0.313728049958899,0.056858063041811,0.313728049958899
"PF","treat_control",0.0627551020685339,0.0617601546960417,1.01610985881413,106.043445765261,0.311889808778939,-0.0596898323652298,0.185200036502298,-0.0596898323652298,0.185200036502298
"PLA","(Intercept)",3.07273893624618,0.493490309503746,6.2265436160968,108.042289042286,9.31081734107547e-09,2.09455986793387,4.05091800455849,2.09455986793387,4.05091800455849
"PLA","treat_control",0.207710784891224,0.0617220475443924,3.3652607642647,108.042289042286,0.0010594962043223,0.0853675214094844,0.330054048372964,0.0853675214094844,0.330054048372964
"PLA","emot_rep",0.0659334391355845,0.0549155645968283,1.20063300122007,108.042289042286,0.232519328454048,-0.042918254157417,0.174785132428586,-0.042918254157417,0.174785132428586
"SB","(Intercept)",4.74707160162766,0.876524721825356,5.41578746546009,104.044637591258,3.95138161344372e-07,3.00889896196869,6.48524424128663,3.00889896196869,6.48524424128663
"SB","consequences",0.255512943100718,0.080661520151215,3.16771792326392,104.044637591258,0.00201699114295442,0.095558929358619,0.415466956842817,0.095558929358619,0.415466956842817
"SB","pers_control",-0.0233463885374071,0.0634373053713063,-0.368023017383192,104.044637591258,0.713603726851394,-0.149144310472192,0.102451533397378,-0.149144310472192,0.102451533397378
"SB","identity",-0.00114221775447654,0.0627018028763277,-0.0182166652644652,104.044637591258,0.98550089562343,-0.125481618005457,0.123197182496504,-0.125481618005457,0.123197182496504
"SB","concern",-0.0592507013396752,0.0571347373493882,-1.03703463231742,104.044637591258,0.302123883355833,-0.172550457481174,0.0540490548018236,-0.172550457481174,0.0540490548018236
"SB","emot_rep",0.0585962416658275,0.0510545510566449,1.14771828276024,104.044637591258,0.253717040650773,-0.0426463377698424,0.159838821101497,-0.0426463377698424,0.159838821101497
"PSYCH_OPEN","(Intercept)",22.4444670262117,1.89907332080002,11.8186416397849,108.042289042286,3.45027457545264e-21,18.6801909384706,26.2087431139529,18.6801909384706,26.2087431139529
"PSYCH_OPEN","consequences",-0.167150958081057,0.16855342632037,-0.991679384573014,108.042289042286,0.323569713662959,-0.501251608780169,0.166949692618054,-0.501251608780169,0.166949692618054
"PSYCH_OPEN","coherence",0.433521535281528,0.135575420105447,3.19764109854386,108.042289042286,0.00181796000482194,0.164788724179003,0.702254346384053,0.164788724179003,0.702254346384053
"HELP_SEEK","(Intercept)",15.3619085152022,2.10763405492457,7.28869818710158,106.043445765261,5.84976007874764e-11,11.1833387733401,19.5404782570644,11.1833387733401,19.5404782570644
"HELP_SEEK","timeline",-0.168164437715499,0.157358930579073,-1.0686678989026,106.043445765261,0.287645995060517,-0.480142346970262,0.143813471539264,-0.480142346970262,0.143813471539264
"HELP_SEEK","treat_control",0.781192681256933,0.178307046174072,4.38116551207009,106.043445765261,2.78331705458036e-05,0.427683291824305,1.13470207068956,0.427683291824305,1.13470207068956
"HELP_SEEK","coherence",0.542376282121587,0.158506020343295,3.42180240817919,106.043445765261,0.000884722224815258,0.228124166598056,0.856628397645117,0.228124166598056,0.856628397645117
"STIG_INDIFF","(Intercept)",22.6472157550451,4.07564133249928,5.55672442873113,103.045247277353,2.16540348228198e-07,14.5641846160957,30.7302468939944,14.5641846160957,30.7302468939944
"STIG_INDIFF","consequences",-0.239917444486897,0.352830372086792,-0.679979569411561,103.045247277353,0.498042209137931,-0.939669618851012,0.459834729877217,-0.939669618851012,0.459834729877217
"STIG_INDIFF","pers_control",-0.169498641321632,0.27092657222038,-0.625625755098533,103.045247277353,0.53294364052941,-0.706814793791615,0.36781751114835,-0.706814793791615,0.36781751114835
"STIG_INDIFF","identity",-0.296257660951491,0.268413146120185,-1.10373752267275,103.045247277353,0.272277845936713,-0.828589051570297,0.236073729667314,-0.828589051570297,0.236073729667314
"STIG_INDIFF","concern",-0.168425478603346,0.243129414462505,-0.69274003302188,103.045247277353,0.490030998322415,-0.650612812465188,0.313761855258496,-0.650612812465188,0.313761855258496
"STIG_INDIFF","coherence",0.770568863781044,0.195682002159777,3.93786273278145,103.045247277353,0.000149686289064579,0.382481790422335,1.15865593713975,0.382481790422335,1.15865593713975
"STIG_INDIFF","emot_rep",-0.157755814330479,0.217387017485997,-0.725691056231729,103.045247277353,0.469673147481971,-0.588889441701246,0.273377813040289,-0.588889441701246,0.273377813040289
